,keywords,frequency
0,media,65
1,social,63
2,facebook,27
3,people,18
4,week,13
5,twitter,13
6,news,11
7,tech,11
8,times,11
9,company,11
10,instagram,10
11,video,10
12,internet,10
13,president,9
14,trump,9
15,york,9
16,women,9
17,platforms,8
18,month,8
19,health,7
20,industry,7
21,tuesday,7
22,online,7
23,ago,7
24,political,7
25,readers,7
26,million,7
27,past,6
28,world,6
29,accounts,6
30,department,6
31,newsletter,6
32,digital,6
33,public,6
34,san,6
35,francisco,6
36,companies,6
37,technology,6
38,recently,5
39,information,5
40,started,5
41,friday,5
42,city,5
43,thursday,5
44,country,5
45,site,5
46,leaders,5
47,monday,5
48,fake,5
49,elections,5
50,wednesday,5
51,set,5
52,meme,5
53,chinese,5
54,users,5
55,school,5
56,day,5
57,reports,4
58,wrote,4
59,friends,4
60,united,4
61,offering,4
62,sign,4
63,sri,4
64,networks,4
65,violence,4
66,age,4
67,tell,4
68,presidential,4
69,american,4
70,election,4
71,videos,4
72,washington,4
73,china,4
74,popular,4
75,mark,4
76,zuckerberg,4
77,star,4
78,following,4
79,ban,4
80,money,4
81,london,4
82,joke,4
83,life,4
84,lead,4
85,business,4
86,russian,4
87,access,4
88,followers,4
89,south,4
90,services,4
91,sprüth,4
92,art,4
93,music,4
94,days,4
95,album,4
96,march,4
97,former,3
98,posts,3
99,teenage,3
