,keywords,wordtag
0,keywords,NNS
1,violence,NN
2,children,NNS
3,adoptees,VBZ
4,parents,NNS
5,time,NN
6,korean,JJ
7,korea,JJ
8,school,NN
9,domestic,JJ
10,family,NN
11,people,NNS
12,rights,NNS
13,phone,NN
14,social,JJ
15,reserved,VBD
16,page,NN
17,inc.,VBP
18,n't,RB
19,women,NNS
20,victims,NNS
21,teens,NNS
22,ovw,VBP
23,girls,NNS
24,child,VBP
25,mobile,JJ
26,sexual,JJ
27,suicide,NN
28,services,NNS
29,adoption,NN
30,justice,NN
31,national,JJ
32,phones,NNS
33,adoptee,NN
34,schools,NNS
35,kinship,VBP
36,program,NN
37,kids,NNS
38,government,NN
39,nation,NN
40,assault,NN
41,community,NN
42,day,NN
43,students,NNS
44,victim,VBP
45,age,NN
46,programs,NNS
47,grant,VBP
48,bullying,VBG
49,cent,NN
50,help,NN
51,friends,NNS
52,spend,VBP
53,vawa,JJ
54,life,NN
55,law,NN
56,internet,NN
57,indigenous,JJ
58,koreans,NNS
59,online,JJ
60,families,NNS
61,transnational,JJ
62,american,JJ
63,health,NN
64,times,NNS
65,education,NN
66,activities,NNS
67,grantees,VBZ
68,south,JJ
69,media,NNS
70,research,NN
71,u.s.,JJ
72,cultural,JJ
73,abuse,NN
74,university,NN
75,home,NN
76,department,NN
77,english,JJ
78,washington,NN
79,issues,NNS
80,told,VBD
81,found,JJ
82,communities,NNS
83,lives,VBZ
84,federal,JJ
85,risk,NN
86,generation,NN
87,country,NN
88,youth,VBP
89,economic,JJ
90,student,NN
91,service,NN
92,words,NNS
93,hours,NNS
94,world,NN
95,person,NN
96,legal,JJ
97,past,NN
98,based,VBN
99,public,JJ
100,report,NN
101,adopted,VBD
102,overseas,JJ
103,international,JJ
104,looking,VBG
105,police,NN
106,global,JJ
107,adults,NNS
108,depression,NN
109,grants,NNS
110,dating,VBG
111,funding,NN
112,boys,NNS
113,sleep,JJ
114,culture,NN
115,stalking,VBG
116,dc,NN
117,feel,NN
118,adolescents,NNS
119,including,VBG
120,prevention,NN
121,training,NN
122,enforcement,JJ
123,press,NN
124,office,NN
125,control,NN
126,return,VBP
127,support,NN
128,act,NN
129,study,NN
130,reported,VBD
131,financial,JJ
132,left,VBD
133,college,NN
134,information,NN
135,recent,JJ
136,data,NN
137,increase,NN
138,son,NN
139,provide,IN
140,dapchi,JJ
141,studies,NNS
142,white,JJ
143,screen,JJ
144,technology,NN
145,crisis,NN
146,survey,NN
147,adoptions,NNS
148,crime,NN
149,getting,VBG
150,safety,NN
151,teenagers,NNS
152,ncjrs,JJ
153,addiction,NN
154,parent,NN
155,play,NN
156,project,NN
157,seoul,VBZ
158,mental,JJ
159,adult,NN
160,ms.,NN
161,language,NN
162,lack,VBP
163,five,CD
164,document,NN
165,nearly,RB
166,class,NN
167,started,VBD
168,week,NN
169,birth,NN
170,guarani-kaiowa,JJ
171,rape,NN
172,set,VBN
173,sex,NN
174,dr,NN
175,alcohol,NN
176,using,VBG
177,million,CD
178,york,NN
